Repository,Commit Hash,Severity_High,Severity_Medium,Severity_Low,Confidence_High,Confidence_Medium,Confidence_Low,CWE_Counts
scrapy,4a0c05749c72662bb82cdb01d9a0ef1ff6416b6a,33,31,1303,1348,18,1,"{""703"": 1190, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,4d31277bc67169460dc2d8bca80946df8b355b8f,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,4dcc04be48b5c9ed096e91bf2928f5e421ce2153,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,4e0a3087e4f4f2bc118d0f09b71e7440e78c42d7,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,5680bee968d91239da27fff00aa33a9d891f4109,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,59fcb9b93c4971602b4a4afd4afdf08db7a7f2b7,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,5c2df5cf2aec8ea1ef25c066c08920a6adbd42ca,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,5d3aa80ad1f1dcd67a185158c6a7ceb53855eefd,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,6aa4d2b4ab28b8f657645de613295ea2498e8cee,23,26,1281,1312,17,1,"{""703"": 1179, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,6ae5b9267145e5b01d282f766fa90d129eb40390,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
